667A Lyttelton          New Zealand         1995 43360S 172430E 0000 3 00000R MM
667A Lytt  199501011  763 1443 1873 2183 2393 2283 1753 1303  713  343   73  173
667A Lytt  199501012  603 1083 1743 2243 2533 2593 2303 1813 1223  703  423  193
667A Lytt  199501021  323  903 1433 1853 2343 2543 2293 1913 1293  703  403  193
667A Lytt  199501022  353  553 1253 1953 2313 2603 2613 2323 1743 1253  673  313
667A Lytt  199501031  233  473  813 1443 1933 2363 2463 2243 1953 1323  703  343
667A Lytt  199501032  183  123  633 1153 1663 2233 2483 2393 2133 1613 1023  543
667A Lytt  199501041  173  193  303  683 1373 1823 2153 2263 2173 1683 1073  623
667A Lytt  199501042  353    0  163  613 1113 1693 2153 2403 2253 2043 1553  933
667A Lytt  199501051  473  363  163  333  913 1473 1843 2103 2393 2083 1543 1213
667A Lytt  199501052  743  253  183  413  643 1273 1763 2223 2253 2243 1953 1413
667A Lytt  199501061  943  603  243  253  593 1033 1403 1943 2283 2283 2123 1673
667A Lytt  199501062 1263  813  473  353  523  983 1363 1893 2253 2363 2283 2013
667A Lytt  199501071 1543 1043  583  463  433  613 1183 1533 1993 2303 2253 2013
667A Lytt  199501072 1733 1273  753  623  503  703  993 1583 1973 2163 2403 2283
667A Lytt  199501081 1823 1443 1093  593  543  473  773 1193 1543 1963 2173 2243
667A Lytt  199501082 1993 1623 1163  793  663  603  703 1133 1433 1933 2083 2143
667A Lytt  199501091 1993 1753 1353  803  613  563  453  783 1273 1553 1793 2233
667A Lytt  199501092 2103 1713 1573 1123  643  663  583  723 1043 1473 1703 1913
667A Lytt  199501101 2043 1883 1543 1123  793  473  393  533  853 1083 1583 1883
667A Lytt  199501102 1993 1903 1673 1343  913  703  543  463  733 1063 1283 1693
667A Lytt  199501111 1973 1833 1713 1373 1053  613  433  423  463  823 1163 1623
667A Lytt  199501112 1833 1883 1833 1613 1163  963  593  413  543  833  963 1383
667A Lytt  199501121 1843 1833 1823 1663 1393  923  573  453  333  683  923 1303
667A Lytt  199501122 1743 1893 1943 1883 1543 1283  833  623  493  643  843 1193
