667A Lyttelton          New Zealand         1996 43360S 172430E 0000 3 00000R MM
667A Lytt  199601011 1843 2153 2053 1683 1463 1063  583  403  473  633  913 1463
667A Lytt  199601012 1903 1973 2103 2093 1483 1263  893  483  403  633  873 1043
667A Lytt  199601021 1693 1973 1983 1943 1703 1333  783  523  433  423  573 1143
667A Lytt  199601022 1613 1693 2093 2283 1773 1563 1193  853  473  543  753  773
667A Lytt  199601031 1393 1863 1883 2023 2013 1643 1183  803  583  393  483  833
667A Lytt  199601032 1153 1573 1993 2153 2003 1923 1553 1033  623  553  513  563
667A Lytt  199601041  993 1433 1693 1883 2053 1703 1453 1123  673  393  453  553
667A Lytt  199601042  933 1273 1713 2033 2023 2063 1783 1353  923  683  493  443
667A Lytt  199601051  743 1153 1403 1763 2003 1983 1633 1323 1003  563  343  483
667A Lytt  199601052  583  893 1403 1803 1873 2073 1933 1453 1103  823  473  273
667A Lytt  199601061  503  723 1083 1463 1773 1863 1763 1513 1153  773  423  343
667A Lytt  199601062  403  593 1033 1483 1723 1943 2033 1743 1343 1023  643  303
667A Lytt  199601071  393  523  803 1193 1563 1783 1793 1733 1423 1023  613  443
667A Lytt  199601072  393  413  733 1243 1543 1873 2023 1973 1673 1243  863  583
667A Lytt  199601081  293  503  593  993 1423 1693 1843 1893 1673 1373  963  673
667A Lytt  199601082  423  383  573  943 1403 1723 1983 2053 1983 1603 1243  843
667A Lytt  199601091  503  513  493  743 1213 1553 1753 1993 1823 1613 1333  933
667A Lytt  199601092  603  393  593  653 1063 1583 1863 1913 2063 1863 1473 1053
667A Lytt  199601101  803  573  403  663  913 1333 1633 1873 1983 1863 1633 1203
667A Lytt  199601102  783  633  473  573  833 1423 1643 1893 2193 2003 1773 1423
667A Lytt  199601111 1083  683  563  543  723 1083 1433 1703 2013 1983 1873 1533
667A Lytt  199601112 1173  793  523  563  613 1003 1433 1673 1983 2053 2043 1703
667A Lytt  199601121 1303  963  703  443  623  893 1163 1573 1913 2033 2023 1913
667A Lytt  199601122 1443 1043  753  503  523  773 1133 1483 1793 1943 2083 1873
667A Lytt  199601131 1553 1183  853  493  453  613  873 1153 1673 1953 1943 1993
667A Lytt  199601132 1753 1353  993  643  503  573  763 1183 1573 1783 2203 2113
667A Lytt  199601141 1873 1663 1203  813  613  623  653 1003 1463 1733 2083 2183
667A Lytt  199601142 2053 1823 1333 1013  713  603  603  893 1243 1723 1963 2163
667A Lytt  199601151 2183 1923 1533 1163  753  603  453  753 1063 1453 1823 2233
667A Lytt  199601152 2243 2083 1793 1263  933  693  393  573  953 1273 1653 2003
667A Lytt  199601161 2273 2083 1853 1533 1053  613  533  483  673 1103 1523 1973
667A Lytt  199601162 2263 2313 2093 1753 1333  943  483  453  523  853 1183 1733
667A Lytt  199601171 2073 2203 2113 1783 1383  933  483  293  333  633 1053 1553
667A Lytt  199601172 1983 2313 2303 2053 1653 1263  703  393  313  383  793 1223
667A Lytt  199601181 1723 2123 2253 2073 1823 1273  803  403  183  273  613  983
667A Lytt  199601182 1633 2113 2333 2363 2123 1753 1113  603  423  123  313  763
667A Lytt  199601191 1273 1773 2183 2293 2083 1853 1233  653  323   83  133  583
667A Lytt  199601192 1033 1643 2183 2363 2353 2283 1593 1083  583  273  103  253
667A Lytt  199601201  693 1303 1823 2093 2293 2213 1693 1123  623  223 -100   63
667A Lytt  199601202  583  943 1573 2213 2393 2373 2123 1593  993  443  153  -30
667A Lytt  199601211  143  633 1333 1723 2153 2393 2103 1713 1093  543   73  -30
667A Lytt  199601212  -10  523  993 1643 2163 2413 2433 2103 1563 1053  403  163
667A Lytt  199601221    3  233  763 1423 1793 2263 2533 2113 1783 1233  603  143
