667A Lyttelton          New Zealand         1999 43360S 172430E 0000 3 00000R MM
667A Lytt  199901011 1153 1873 2063 2353 2633 2233 1753 1153  753  363  103 9999
667A Lytt  199901012 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
667A Lytt  199901021 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
667A Lytt  199901022 9999 9999 1443 2123 2473 2473 2603 2143 1423 1023  543  233
667A Lytt  199901031  263  683 1093 1673 2223 2373 2443 2123 1603 1063  503  253
667A Lytt  199901032  213  343  983 1533 1983 2453 2573 2393 1993 1413  943  423
667A Lytt  199901041  183  433  673 1083 1843 2213 2303 2393 2043 1553  983  543
667A Lytt  199901042  273  113  523  963 1573 2043 2443 2443 2443 1833 1333  813
667A Lytt  199901051  403  333  353  833 1253 1783 2093 2303 2263 1953 1463  973
667A Lytt  199901052  473  283  273  643 1083 1663 2103 2393 2403 2213 1773 1233
667A Lytt  199901061  823  473  163  463  753 1373 1703 2003 2383 2273 1873 1443
667A Lytt  199901062 1023  493  413  433  633 1253 1683 2053 2313 2353 2203 1653
667A Lytt  199901071 1143  873  473  383  593  993 1343 1823 2213 2353 2143 1853
667A Lytt  199901072 1513 1043  603  563  583  893 1313 1763 2153 2203 2313 2063
667A Lytt  199901081 1573 1293  803  523  583  823 1013 1393 1933 2113 2183 2163
667A Lytt  199901082 1843 1383 1003  643  573  713 1063 1373 1773 2133 2243 2163
667A Lytt  199901091 1923 1603 1183  793  633  663  803 1063 1563 1913 2023 2233
667A Lytt  199901092 2013 1573 1313  923  623  583  713 1003 1353 1773 2013 2083
667A Lytt  199901101 1973 1823 1423  953  793  583  563  733 1133 1503 1763 2063
667A Lytt  199901102 2033 1723 1593 1223  643  683  623  653  983 1513 1723 1873
667A Lytt  199901111 2053 1963 1533 1263  993  563  523  653  863 1123 1563 1893
667A Lytt  199901112 1933 1963 1763 1483 1063  833  663  593  813 1173 1553 1723
667A Lytt  199901121 1983 1993 1773 1553 1213  943  613  603  723  973 1293 1703
667A Lytt  199901122 1993 2013 1973 1733 1443 1083  793  663  623  933 1233 1513
667A Lytt  199901131 1783 2053 2053 1723 1533 1313  813  613  723  863  983 1633
667A Lytt  199901132 1883 2003 2183 2033 1723 1473 1113  883  773  833 1063 1373
667A Lytt  199901141 1743 2043 2183 2083 1843 1563 1153  813  763  733  953 1263
667A Lytt  199901142 1723 1883 2123 2223 2053 1623 1353 1043  783  683  893 1103
