667A Lyttelton          New Zealand         2015 43360S 172430E 0000 3 00000R MM
667A Lytt  201501011 2299 2501 2365 2159 1829 1298  740  726  525  731 1181 1653
667A Lytt  201501012 2095 2423 2453 2282 2042 1548  998  751  668  575 1080 1378
667A Lytt  201501021 1788 2238 2482 2230 2093 1788 1155  794  632  520  699 1284
667A Lytt  201501022 1717 2094 2396 2472 2220 1912 1539  929  722  680  604  975
667A Lytt  201501031 1379 1911 2153 2307 2313 1975 1465 1096  757  435  580  827
667A Lytt  201501032 1271 1703 2139 2280 2438 2328 1783 1278 1007  729  457  627
667A Lytt  201501041 1089 1548 1937 2069 2361 2241 1849 1439 1000  731  629  640
667A Lytt  201501042 1017 1392 1976 2149 2406 2471 2120 1800 1289  939  674  613
667A Lytt  201501051  800 1278 1627 1950 2338 2313 2157 1819 1423  890  570  646
667A Lytt  201501052  643 1012 1471 2037 2156 2411 2427 2031 1706 1226  758  762
667A Lytt  201501061  623  822 1300 1749 2042 2212 2335 2067 1671 1253  917  764
667A Lytt  201501062  518  743 1245 1558 1960 2353 2404 2218 1907 1473  998  771
667A Lytt  201501071  643  647  918 1353 1752 2050 2208 2255 1858 1625 1194  710
667A Lytt  201501072  687  623  838 1238 1714 2116 2236 2347 2124 1817 1303  972
667A Lytt  201501081  754  722  755  955 1580 1855 1984 2123 2166 1742 1472 1078
667A Lytt  201501082  778  566  727 1035 1285 1826 2129 2161 2252 1957 1535 1267
667A Lytt  201501091  884  680  596  798 1194 1583 1751 2016 2231 1958 1590 1287
667A Lytt  201501092 1046  559  669  736 1026 1507 1774 2061 2247 2053 1758 1508
667A Lytt  201501101 1041  936  593  667  999 1258 1603 1967 2175 2041 1952 1649
667A Lytt  201501102 1227  978  697  722  926 1367 1601 2011 2156 2203 2117 1746
667A Lytt  201501111 1538 1066  873  730  949 1150 1456 1842 2080 2135 2212 1995
667A Lytt  201501112 1557 1245  978  772  842 1220 1357 1835 2111 2204 2202 2037
667A Lytt  201501121 1705 1382 1055  815  824  969 1130 1602 1931 1981 2132 2193
667A Lytt  201501122 1671 1436 1238  839  819  970 1177 1416 1824 2139 2044 2190
667A Lytt  201501131 1920 1580 1344  892  879  896  948 1293 1636 1941 2081 2220
667A Lytt  201501132 2044 1713 1463 1134  950  886  948 1272 1549 1901 2046 2217
667A Lytt  201501141 2133 1857 1561 1174  980  865  753 1036 1450 1698 1876 2259
667A Lytt  201501142 2251 1860 1756 1414  985  941  858  955 1224 1647 1927 1987
667A Lytt  201501151 2213 2138 1706 1348 1307  896  577  853 1200 1303 1733 2207
667A Lytt  201501152 2224 2131 1993 1638 1279 1009  884  757 1046 1470 1612 1910
667A Lytt  201501161 2397 2182 2001 1801 1351 1115  755  715  935 1176 1436 1864
667A Lytt  201501162 2158 2358 2214 1977 1731 1288 1026  814  863 1160 1430 1816
667A Lytt  201501171 2220 2326 2307 2172 1813 1392  999  880  785  925 1314 1762
667A Lytt  201501172 2087 2431 2531 2384 2160 1732 1218  980  922  884 1134 1669
667A Lytt  201501181 2050 2353 2501 2529 2288 1831 1275  985  796  690 1084 1379
667A Lytt  201501182 1943 2345 2544 2605 2582 2083 1635 1305  877  824  884 1156
667A Lytt  201501191 1696 2158 2384 2562 2530 2150 1646 1225  755  536  769  965
667A Lytt  201501192 1367 1922 2335 2554 2628 2528 2067 1518 1201  756  588  726
667A Lytt  201501201 1117 1706 2046 2280 2711 2389 1938 1617 1039  585  406  584
667A Lytt  201501202  747 1238 1986 2327 2454 2692 2342 1772 1362  896  471  263
667A Lytt  201501211  614  931 1359 2030 2298 2387 2324 1863 1331  792  410  270
667A Lytt  201501212  260  660 1314 1756 2236 2629 2388 2239 1848 1067  648  294
667A Lytt  201501221  261  412  909 1460 2068 2328 2373 2301 1808 1217  790  326
667A Lytt  201501222  140  259  714 1206 1867 2375 2481 2385 2355 1647 1052  630
667A Lytt  201501231  263  230  420  938 1544 2067 2355 2494 2312 1911 1220  760
667A Lytt  201501232  405  152  347  740 1361 1915 2345 2583 2530 2193 1667 1098
667A Lytt  201501241  612  353  255  402 1106 1621 2003 2408 2512 2285 1805 1288
667A Lytt  201501242  797  357  272  437  741 1429 1992 2248 2548 2616 2072 1612
667A Lytt  201501251 1119  589  261  372  519 1079 1613 2084 2418 2513 2248 1866
667A Lytt  201501252 1446  730  483  326  413  901 1425 1797 2294 2592 2413 2044
667A Lytt  201501261 1620 1162  497  420  383  517 1071 1639 2034 2374 2557 2286
667A Lytt  201501262 1834 1410  848  552  393  632  965 1422 1910 2294 2572 2254
667A Lytt  201501271 2111 1714 1085  639  513  449  756 1176 1657 2168 2424 2520
667A Lytt  201501272 2337 1943 1460 1023  701  581  703 1098 1423 2042 2321 2362
667A Lytt  201501281 2454 2073 1676 1098  823  488  466  777 1248 1664 2079 2523
667A Lytt  201501282 2351 2261 1921 1411 1047  697  593  689 1123 1338 1920 2212
667A Lytt  201501291 2381 2288 2002 1612 1053  768  541  556  781 1180 1681 2134
667A Lytt  201501292 2354 2332 2301 1762 1328 1032  632  564  623 1069 1420 1773
667A Lytt  201501301 2214 2318 2116 1923 1512  993  695  558  500  767 1279 1686
667A Lytt  201501302 2153 2298 2361 2079 1801 1414  782  775  656  676 1028 1511
667A Lytt  201501311 1865 2107 2254 2224 1824 1383 1081  625  458  617  910 1252
667A Lytt  201501312 1823 2047 2315 2364 2037 1772 1251  862  668  584  803 1141
667A Lytt  201502011 1645 1912 2236 2357 2096 1832 1480  988  691  528  819  970
667A Lytt  201502012 1486 2026 2162 2296 2428 2041 1694 1238  936  793  691 1004
667A Lytt  201502021 1304 1767 2129 2328 2420 2252 1875 1458 1051  893  752  942
667A Lytt  201502022 1324 1717 2224 2384 2556 2499 2148 1755 1371 1034  907  892
667A Lytt  201502031 1100 1518 2066 2297 2443 2468 2245 1799 1352 1078  829  807
667A Lytt  201502032 1127 1469 1926 2249 2377 2565 2283 1996 1639 1177 1047  893
667A Lytt  201502041  954 1197 1531 1963 2331 2464 2304 2214 1714 1250 1070  885
667A Lytt  201502042  886 1218 1627 1898 2313 2568 2370 2251 1932 1430 1130  972
667A Lytt  201502051  825 1035 1400 1858 2105 2344 2474 2329 2074 1644 1303 1014
667A Lytt  201502052 1013 1018 1372 1917 2103 2485 2713 2431 2189 1910 1437 1038
667A Lytt  201502061  976 1119 1261 1631 2123 2327 2472 2564 2288 1852 1651 1123
667A Lytt  201502062  915  884 1127 1401 1872 2324 2496 2411 2301 2089 1631 1208
667A Lytt  201502071 1023  868  894 1291 1630 1941 2063 2388 2093 1924 1670 1232
667A Lytt  201502072  860  695  823  930 1362 1841 2015 2153 2262 2029 1677 1253
667A Lytt  201502081 1003  756  643  994 1231 1494 1973 2233 2098 2106 1874 1371
667A Lytt  201502082 1089  877  762  800 1187 1626 1824 2072 2417 2174 2028 1641
667A Lytt  201502091 1205 1059  780  906 1071 1385 1699 2091 2056 2193 2095 1726
667A Lytt  201502092 1352  980  872  638  910 1185 1501 1786 2083 2090 1974 1750
667A Lytt  201502101 1394 1026  860  667  784 1052 1347 1633 1894 2029 2083 1813
667A Lytt  201502102 1511 1104  883  592  684  904 1088 1507 1733 2000 2002 1817
667A Lytt  201502111 1543 1259  891  685  690  723  999 1374 1632 1881 2102 1934
667A Lytt  201502112 1717 1275 1112  788  598  824  905 1125 1647 1869 1944 2056
667A Lytt  201502121 1839 1479 1164  907  715  678  911 1134 1484 1794 2082 2145
667A Lytt  201502122 2012 1718 1486  978  819  820  746  954 1352 1702 1933 2017
667A Lytt  201502131 2094 1780 1551 1150  946  671  759  945 1179 1555 2084 2124
667A Lytt  201502132 2158 2073 1792 1366 1011  911  709  733 1125 1440 1739 2051
667A Lytt  201502141 2233 2028 1752 1550 1034  774  677  708  834 1213 1740 1998
667A Lytt  201502142 2102 2250 2068 1636 1311  990  587  568  685 1051 1411 1732
667A Lytt  201502151 2163 2065 1983 1852 1290  882  760  475  490  851 1252 1676
667A Lytt  201502152 1987 2214 2278 1898 1591 1226  745  444  533  612  912 1410
667A Lytt  201502161 1873 2046 2160 2096 1719 1180  808  534  304  464  862 1263
667A Lytt  201502162 1629 2089 2341 2181 1974 1627 1119  515  459  401  501  936
667A Lytt  201502171 1465 1928 2103 2329 2126 1677 1170  820  394  314  541  866
667A Lytt  201502172 1304 1893 2309 2380 2410 2147 1569  996  631  404  256  637
667A Lytt  201502181 1136 1577 2019 2495 2414 2163 1862 1244  667  408  362  415
667A Lytt  201502182  892 1525 2054 2365 2628 2609 2106 1527 1216  638  303  402
667A Lytt  201502191  724 1106 1713 2281 2496 2505 2317 1824 1167  711  458  169
667A Lytt  201502192  462  977 1616 2018 2516 2833 2431 2115 1657  971  557  338
667A Lytt  201502201  245  600 1163 1862 2288 2552 2667 2346 1752 1198  790  340
667A Lytt  201502202  204  516 1064 1538 2154 2709 2682 2474 2315 1601  944  618
667A Lytt  201502211  341  343  611 1389 1974 2315 2714 2827 2323 1790 1405  728
667A Lytt  201502212  309  376  520  940 1619 2235 2509 2621 2608 2151 1497  979
667A Lytt  201502221  573  222  319  730 1323 1721 2316 2691 2425 2319 1840 1138
667A Lytt  201502222  671  351  332  420  937 1686 1987 2323 2693 2384 1968 1470
667A Lytt  201502231  993  394  262  403  725 1173 1797 2361 2414 2500 2343 1660
667A Lytt  201502232 1191  753  410  265  606 1039 1494 1917 2426 2465 2309 1962
