667A Lyttelton          New Zealand         2004 43360S 172430E 0000 3 00000R MM
667A Lytt  200401011 2152 2038 1683 1350 1059  665  627  645  928 1245 1653 1932
667A Lytt  200401012 2110 2172 1830 1667 1232  979  848  749  937 1189 1501 1879
667A Lytt  200401021 2052 2099 1940 1672 1310  995  622  669  769  926 1257 1744
667A Lytt  200401022 1929 2067 2070 1739 1583 1267  899  830  719  994 1185 1563
667A Lytt  200401031 1899 2093 1990 1922 1605 1254  805  787  636  820 1116 1506
667A Lytt  200401032 1824 2026 2143 2071 1769 1552 1156  950  715  833 1004 1292
667A Lytt  200401041 1616 2051 2027 1929 1907 1593 1127  862  765  659  896 1241
667A Lytt  200401042 1582 1858 2031 2157 1977 1871 1441 1177  800  924  845  958
667A Lytt  200401051 1572 1817 1853 2169 2153 1687 1463 1127  852  722  790 1075
667A Lytt  200401052 1293 1717 2109 2213 2118 2248 1732 1409 1149  876  821  799
667A Lytt  200401061 1233 1504 1896 2091 2131 1793 1865 1281  984  846  748  834
667A Lytt  200401062 1103 1607 1858 2122 2275 2366 1968 1619 1383 1015  735  840
667A Lytt  200401071  986 1221 1618 2059 2099 2048 2003 1758 1190  938  850  646
667A Lytt  200401072  915 1224 1571 2003 2221 2368 2126 1946 1567 1149  900  829
667A Lytt  200401081  808 1131 1510 1702 2019 2235 2128 1934 1542 1258  945  788
667A Lytt  200401082  880 1035 1481 1944 2192 2327 2558 2193 1789 1558 1022  753
667A Lytt  200401091  721  874  908 1518 1933 1922 2140 2107 1747 1406  999  789
667A Lytt  200401092  615  727 1040 1408 1749 2087 2307 2176 1925 1779 1173  878
667A Lytt  200401101  760  630  911 1245 1587 1842 2118 2086 1956 1681 1282  850
667A Lytt  200401102  633  539  753  977 1535 1893 2142 2361 2163 1889 1645 1151
667A Lytt  200401111  837  747  742  893 1353 1819 1929 2149 2231 1889 1659 1254
667A Lytt  200401112  939  642  775  912 1118 1781 2030 2283 2318 2225 1797 1422
667A Lytt  200401121 1029  735  690  630 1046 1408 1691 1996 2116 2126 1830 1531
667A Lytt  200401122 1088  698  552  770  775 1290 1753 2021 2208 2269 1990 1694
667A Lytt  200401131 1271  958  533  563  723  971 1373 1799 1997 2113 2092 1777
667A Lytt  200401132 1310 1016  716  497  625  948 1333 1687 2026 2256 2197 1949
667A Lytt  200401141 1638 1229  809  597  665  757 1056 1441 1852 2195 2055 2082
667A Lytt  200401142 1870 1177  937  806  556  696 1087 1428 1716 2144 2238 2143
667A Lytt  200401151 2030 1692 1151  773  722  613  816 1236 1602 1902 2222 2204
667A Lytt  200401152 1999 1693 1228  793  555  572  598  976 1323 1912 2035 2152
667A Lytt  200401161 2167 1824 1423 1002  663  569  556  748 1188 1629 2006 2144
667A Lytt  200401162 2345 2029 1697 1254  852  712  527  724 1009 1542 1863 2087
667A Lytt  200401171 2228 2210 1834 1431 1075  655  524  520  884 1260 1672 2077
667A Lytt  200401172 2334 2278 2104 1680 1175  880  607  506  634 1112 1618 1786
667A Lytt  200401181 2211 2487 2067 1761 1532  943  623  526  542  919 1244 1853
667A Lytt  200401182 2069 2343 2457 2040 1672 1308  807  504  504  733 1047 1506
667A Lytt  200401191 1916 2326 2351 2195 1905 1476  939  602  495  580  984 1392
667A Lytt  200401192 1849 2223 2525 2378 2222 1851 1281  850  596  546  733 1020
667A Lytt  200401201 1611 2111 2239 2336 2352 1809 1387  926  568  382  526  918
667A Lytt  200401202 1390 1878 2314 2559 2428 2296 1760 1243  795  536  436  501
667A Lytt  200401211 1010 1599 1941 2155 2432 2175 1759 1214  799  520  192  523
667A Lytt  200401212  830 1338 1847 2342 2396 2476 2159 1600 1162  681  504  230
667A Lytt  200401221  541 1011 1565 1879 2265 2352 2127 1666 1236  652  323  291
667A Lytt  200401222  355  749 1410 1891 2223 2530 2329 2111 1602 1077  768  384
667A Lytt  200401231  342  617 1108 1566 1964 2265 2381 1943 1705 1215  600  468
667A Lytt  200401232  319  379  911 1517 1929 2312 2513 2412 2042 1556 1131  544
667A Lytt  200401241  400  439  544 1097 1682 2003 2225 2391 2075 1676 1113  718
667A Lytt  200401242  423  249  538  956 1374 2008 2287 2345 2382 1986 1451  960
667A Lytt  200401251  695  384  418  734 1216 1639 2045 2298 2267 2147 1555 1139
667A Lytt  200401252  761  422  394  609 1032 1551 1967 2198 2359 2306 1875 1353
667A Lytt  200401261 1035  591  416  479  783 1222 1703 2029 2167 2264 2000 1541
667A Lytt  200401262 1120  666  544  473  631 1167 1478 1932 2246 2119 2173 1707
667A Lytt  200401271 1241  938  483  476  447  849 1234 1607 1888 2147 2132 1780
667A Lytt  200401272 1393 1022  764  419  492  838 1082 1435 1879 2103 1997 1957
667A Lytt  200401281 1620 1107  766  521  501  480  852 1260 1512 1944 2024 1938
667A Lytt  200401282 1672 1336 1015  597  588  599  783 1105 1549 1769 1982 2043
667A Lytt  200401291 1787 1502 1141  764  519  530  631  948 1285 1680 1937 2035
667A Lytt  200401292 2030 1645 1424  990  779  770  632  925 1326 1657 1833 2126
667A Lytt  200401301 2098 1796 1588 1268  888  659  779  831 1109 1611 1775 2071
667A Lytt  200401302 2205 1955 1768 1413 1116  903  733  779 1120 1350 1611 1982
667A Lytt  200401311 2087 1954 1837 1426 1141  800  692  700  805 1242 1588 1805
667A Lytt  200401312 2077 2137 1879 1593 1409 1115  725  662  955 1094 1339 1708
667A Lytt  200402011 2019 1970 1910 1706 1365 1111  711  712  665  982 1287 1680
667A Lytt  200402012 1894 2155 2189 1889 1604 1388  982  770  850  874 1153 1568
667A Lytt  200402021 1736 1992 2163 1928 1698 1460 1009  824  696  887 1046 1462
667A Lytt  200402022 1851 1919 2257 2181 1880 1669 1283  914  883  908  954 1300
667A Lytt  200402031 1646 1968 2016 2147 2083 1618 1320 1115  744  714  999 1236
667A Lytt  200402032 1549 1945 2236 2231 2105 2036 1623 1143 1094  892  905 1163
667A Lytt  200402041 1485 1827 2132 2256 2277 1923 1682 1389  888  783  846  966
667A Lytt  200402042 1334 1647 2132 2268 2232 2228 1839 1513 1175  943  829  884
667A Lytt  200402051 1291 1605 1869 2262 2273 2166 1953 1537 1198  836  790  780
667A Lytt  200402052 1028 1420 1884 2045 2269 2393 2053 1772 1321 1045  760  660
667A Lytt  200402061  862 1212 1512 1921 2190 2115 2081 1695 1319  917  763  612
667A Lytt  200402062  750 1052 1539 1869 2120 2383 2229 1886 1657 1229  796  716
667A Lytt  200402071  699  895 1133 1796 2015 2080 2168 2072 1521 1145  895  520
667A Lytt  200402072  545  660 1168 1534 1876 2284 2248 2091 1855 1434  932  691
667A Lytt  200402081  582  554  872 1406 1724 1934 2181 2152 1700 1503 1089  693
667A Lytt  200402082  500  531  829 1193 1706 2107 2231 2304 2170 1694 1298  914
667A Lytt  200402091  614  552  612 1008 1476 1786 2054 2192 2022 1767 1444  923
667A Lytt  200402092  636  476  575  909 1333 1908 2148 2207 2349 2010 1550 1177
667A Lytt  200402101  881  579  480  794 1183 1566 1931 2237 2230 2017 1842 1185
667A Lytt  200402102  860  604  543  534  999 1612 1760 2087 2376 2179 1941 1484
667A Lytt  200402111 1135  832  587  667  902 1221 1750 2209 2235 2406 2249 1831
667A Lytt  200402112 1377  967  844  606  830 1213 1697 1917 2550 2462 2308 2054
667A Lytt  200402121 1591 1209  782  760  700  962 1438 1798 2101 2354 2386 2029
667A Lytt  200402122 1682 1262  919  646  569  855 1160 1474 2064 2300 2245 2269
667A Lytt  200402131 1924 1430  976  850  739  523 1142 1488 1701 2284 2529 2432
667A Lytt  200402132 2221 1702 1474 1020  709  861 1057 1270 1777 2222 2378 2520
667A Lytt  200402141 2325 2049 1547 1127  968  704  854 1221 1534 2011 2397 2619
667A Lytt  200402142 2430 2170 1898 1329  930  912  784  994 1488 1884 2071 2467
667A Lytt  200402151 2619 2223 1937 1712 1099  664  942  920 1011 1704 2179 2272
667A Lytt  200402152 2598 2512 2209 1832 1300 1237  640  654 1093 1239 1653 2235
667A Lytt  200402161 2412 2390 2303 1971 1495 1006  875  802  700 1121 1632 1959
667A Lytt  200402162 2337 2614 2375 2160 1708 1366  803  548  676  857 1136 1568
667A Lytt  200402171 2075 2229 2203 2254 1732 1183 1005  677  410  664 1140 1486
667A Lytt  200402172 1959 2481 2455 2236 2262 1679 1169  732  688  510  789 1261
667A Lytt  200402181 1700 2081 2329 2546 2240 1785 1443 1004  560  596  777 1201
667A Lytt  200402182 1541 1921 2487 2487 2377 2265 1729 1123  866  797  504  832
667A Lytt  200402191 1503 1817 2089 2564 2599 2211 1908 1493 1018  566  799  844
667A Lytt  200402192 1192 1825 2374 2461 2827 2637 2444 1790 1414 1060  768  791
667A Lytt  200402201 1057 1605 1903 2457 2662 2580 2413 2009 1362  977  864  662
667A Lytt  200402202  788 1309 1948 2175 2592 2926 2507 2165 1846 1354  911  884
667A Lytt  200402211 1017 1198 1703 2045 2471 2612 2807 2367 1725 1459 1125  667
667A Lytt  200402212  678  997 1397 1852 2278 2730 2567 2421 2255 1565 1030  946
667A Lytt  200402221  705  727 1018 1653 2094 2148 2566 2482 1972 1732 1200  625
667A Lytt  200402222  603  559  841 1161 1777 2210 2211 2310 2303 1751 1250  839
667A Lytt  200402231  605  349  590  997 1489 1770 2195 2440 2188 1937 1540 1050
667A Lytt  200402232  751  620  678  854 1495 1743 2121 2317 2372 2120 1512 1298
667A Lytt  200402241  897  576  530  834 1105 1433 1948 2243 2176 2172 1961 1512
667A Lytt  200402242 1097  780  822  705 1098 1683 1853 2234 2514 2371 2136 1769
667A Lytt  200402251 1487  974  816  896 1030 1386 1750 2122 2152 2359 2284 1788
667A Lytt  200402252 1486 1076  876  758  821 1208 1526 1838 2212 2212 2226 1955
667A Lytt  200402261 1500 1272  808  759  767  961 1267 1699 1873 2141 2129 1935
667A Lytt  200402262 1559 1201  963  703  556  821 1027 1264 1625 1854 1974 1862
667A Lytt  200402271 1516 1343  905  663  645  622  899 1158 1529 1891 1926 2008
667A Lytt  200402272 1804 1417 1207  914  707  825  903 1208 1489 1851 1934 1994
667A Lytt  200402281 1797 1654 1322  931  834  724  876  987 1374 1714 1966 2199
667A Lytt  200402282 2062 1840 1627 1218  974  863  846 1091 1290 1551 2013 2023
667A Lytt  200402291 2129 2022 1643 1310 1160  774  796  977 1148 1422 1914 2093
667A Lytt  200402292 2118 2058 1908 1611 1171 1039  851  833 1127 1388 1669 1879
667A Lytt  200403011 2151 2064 1822 1662 1367  935  832  948  872 1255 1647 1889
667A Lytt  200403012 2117 2175 2132 1850 1523 1257  909  802  930 1145 1351 1766
667A Lytt  200403021 2015 2034 2007 1900 1493 1248 1013  748  950 1008 1371 1727
667A Lytt  200403022 1980 2280 2188 2061 1918 1482 1071  930  804  944 1212 1446
