,stat_idx,oc_idx,x,loc_name,country,Lat,Lon,data_years,CI,Contributor
315,678B,Pxxx,xxx,Paita-B,Peru,05-05S,081-10W,1988-2016,86,DHNM
316,679A,Pxxx,xxx,Corinto-A,Nicaragua,12-17N,087-07W,1967-1967,99,National Ocean Service
317,679B,Pxxx,xxx,Corinto-B,Nicaragua,12-29N,087-10W,2001-2001,50,National Ocean Service
318,680A,Pxxx,130,Macquerie Is.-A,Australia,54-29S,158-58E,1912-1913,97,"Nat. Tidal Ctr., BOM"
319,680B,Pxxx,130,Macquerie Is.-B,Australia,54-29S,158-58E,1968-1972,45,"Nat. Tidal Ctr., BOM"
320,680C,Pxxx,130,Macquerie Is.-C,Australia,54-29S,158-58E,1993-2007,79,"Nat. Tidal Ctr., BOM"
321,681A,Pxxx,xxx,San Martin-A,Argentina,68-08S,067-06W,1995-1995,8,Alfred Wegener Inst.
322,681B,Pxxx,xxx,San Martin-B,Argentina,68-08S,067-06W,1998-1998,5,Alfred Wegener Inst.
323,681C,Pxxx,xxx,San Martin-C,Argentina,68-08S,067-06W,1998-1999,100,Alfred Wegener Inst.
324,682A,Pxxx,xxx,Dallmann-A,Argentina,62-14S,058-41W,1996-1997,99,Alfred Wegener Inst.
325,682B,Pxxx,xxx,Dallmann-B,Argentina,62-14S,058-41W,1997-1997,69,Alfred Wegener Inst.
326,682C,Pxxx,xxx,Dallmann-C,Argentina,62-14S,058-41W,1998-1999,100,Alfred Wegener Inst.
327,683A,Pxxx,xxx,Pisco-A,Peru,13-25S,076-08W,1985-1990,67,DHNM
328,683B,Pxxx,xxx,Pisco-B,Peru,13-25S,076-08W,1991-2014,76,DHNM
329,684A,Pxxx,178,Puerto Montt,Chile,41-29S,072-58W,1980-2016,95,SHOA
330,687A,Pxxx,xxx,"Zihuatenajo,Gro.",Mexico,17-38N,101-34W,2011-2013,64,UNAM
331,698A,Pxxx,xxx,Tinian,N. Mariana Is.,14-58N,145-37E,1991-1997,93,USGS
332,699A,Pxxx,044,Tanjong Pagar,Singapore,01-16N,103-51E,1988-2016,96,Port Singapore Auth.
333,100A,Ixxx,xxx,Port Stanvac,Australia,35-07S,138-28E,1992-2010,99,"Nat. Tidal Ctr., BOM"
334,101A,Ixxx,008,Mombasa,Kenya,04-04S,039-39E,1986-2017,76,UH Sea Level Center
335,102A,Ixxx,xxx,Dar Es Salaam,Tanzania,06-49S,039-17E,1986-1990,87,UH Sea Level Center
336,103A,Ixxx,018,Port Louis-A,Mauritius,20-09S,057-29E,1942-1947,90,Inst. Ocean. Sciences
337,103B,Ixxx,018,Port Louis-B,Mauritius,20-09S,057-29E,1964-1965,86,Inst. Ocean. Sciences
338,103C,Ixxx,018,Port Louis-C,Mauritius,20-09S,057-30E,1986-2017,99,UH Sea Level Center
339,104B,Ixxx,026,Diego Garcia-B,United Kingdom,07-14S,072-26E,1969-1969,41,Scripps Inst. Ocean.
340,104C,Ixxx,026,Diego Garcia-C,United Kingdom,07-17S,072-24E,1988-2000,80,UH Sea Level Center
341,104D,Ixxx,026,Diego Garcia-D,United Kingdom,07-17S,072-24E,2003-2017,88,UH Sea Level Center
342,105A,Ixxx,019,Rodrigues,Mauritius,19-40S,063-25E,1986-2017,97,UH Sea Level Center
343,106A,Ixxx,xxx,Praslin,Seychelles,04-21S,055-46E,1987-1989,89,UH Sea Level Center
344,107A,Ixxx,045,Padang-A,Indonesia,00-57S,100-22E,1986-1998,53,BAKOSURTANAL
345,107B,Ixxx,045,Padang-B,Indonesia,00-60S,100-23E,2005-2017,97,BAKOSURTANAL
346,108A,Ixxx,028,Male-A,Rep. of Maldives,04-11N,073-31E,1988-1989,100,Lanka Hydraulic Inst.
347,108B,Ixxx,028,"Male-B,Hulule",Rep. of Maldives,04-11N,073-32E,1989-2017,96,UH Sea Level Center
348,109A,Ixxx,027,Gan,Rep. of Maldives,00-41S,073-09E,1987-2017,93,UH Sea Level Center
349,110A,Ixxx,xxx,Muscat-A,Oman,23-38N,058-34E,1987-1993,77,UH Sea Level Center
350,110B,Ixxx,xxx,Muscat-B,Oman,23-38N,058-34E,2009-2017,95,UH Sea Level Center
351,111A,Ixxx,xxx,Port Victoria-A,Seychelles,04-37S,055-28E,1977-1982,84,Inst. Ocean. Sciences
352,111B,Ixxx,xxx,Port Victoria-B,Seychelles,04-37S,055-28E,1986-1992,96,UH Sea Level Center
353,113A,Ixxx,xxx,Masirah,Oman,20-41N,058-52E,1996-2017,82,UH Sea Level Center
354,114A,Ixxx,004,Salalah,Oman,16-56N,054-00E,1989-2017,82,UH Sea Level Center
355,115A,Ixxx,033,Colombo-A,Sri Lanka,06-56N,079-51E,1953-1965,94,Nat. Aquatic Resources
356,115B,Ixxx,033,Colombo-B,Sri Lanka,06-57N,079-51E,1989-1992,96,UH Sea Level Center
357,115C,Ixxx,033,Colombo-C,Sri Lanka,06-56N,079-52E,2006-2016,98,UH Sea Level Center
358,115D,Ixxx,033,Colombo-D,Sri Lanka,06-57N,079-51E,2017-2017,67,UH Sea Level Center
359,117A,Ixxx,xxx,Hanimaadhoo-A,Rep. of Maldives,06-46N,073-10E,1991-2002,98,UH Sea Level Center
360,117B,Ixxx,xxx,Hanimaadhoo-B,Rep. of Maldives,06-46N,073-10E,2002-2017,91,UH Sea Level Center
361,119A,Ixxx,002,Djibouti,Rep. of Djibouti,11-37N,043-08E,2007-2016,90,NOC-UK
362,121A,Ixxx,339,Pt. La Rue,Seychelles,04-40S,055-32E,1993-2017,98,UH Sea Level Center
363,122A,Ixxx,xxx,Sibolga-A,Indonesia,01-45N,098-46E,1989-2004,89,BAKOSURTANAL
364,122B,Ixxx,xxx,Sibolga-B,Indonesia,01-45N,098-46E,2005-2017,95,BAKOSURTANAL
365,123A,Ixxx,347,Sabang,Indonesia,05-53N,95-19E,2005-2017,88,BAKOSURTANAL
366,124A,Ixxx,036,Chittagong,Bangladesh,22-15N,091-50E,2007-2017,96,UH Sea Level Center
367,125A,Ixxx,xxx,Prigi,Indonesia,08-17S,111-44E,2007-2017,97,UH Sea Level Center
368,127A,Ixxx,095,Syowa,Japan,69-00S,039-36E,1987-2015,96,Japan Ocean. Data Cen.
369,128A,Ixxx,308,Thevenard,Australia,32-09S,133-38E,1992-2016,99,"Nat. Tidal Ctr., BOM"
370,129A,Ixxx,055,"Portland,Vict.",Australia,38-21S,141-37E,1991-2016,99,"Nat. Tidal Ctr., BOM"
371,130A,Ixxx,278,Casey,Australia,66-17S,110-32E,1996-2008,82,"Nat. Tidal Ctr., BOM"
372,132A,Ixxx,xxx,Hillarys,Australia,31-50S,115-44E,1992-2016,100,"Nat. Tidal Ctr., BOM"
373,133A,Ixxx,068,Ambon-A,Indonesia,03-41S,128-11E,1992-2004,46,BAKOSURTANAL
374,133B,Ixxx,068,Ambon-B,Indonesia,03-38S,128-12E,2008-2017,77,BAKOSURTANAL
375,134A,Ixxx,xxx,Hiron Point,Bangladesh,21-47N,089-28E,1977-2003,99,BIWTA
376,135A,Ixxx,xxx,Khal #10,Bangladesh,22-16N,091-49E,1983-1992,62,BIWTA
377,136A,Ixxx,xxx,Cox's Bazaar,Bangladesh,21-27N,091-50E,1983-2006,89,BIWTA
378,137A,Ixxx,xxx,Teknaf,Bangladesh,20-53N,092-18E,1983-1988,59,BIWTA
379,138A,Ixxx,xxx,Charchanga,Bangladesh,22-13N,091-03E,1980-2000,97,BIWTA
380,139A,Ixxx,xxx,Khepupara,Bangladesh,21-50N,089-50E,1987-2000,96,BIWTA
381,140A,Ixxx,xxx,Kelang,Malaysia,03-03N,101-22E,1983-2015,95,Dept. Survey/Mapping
382,141A,Ixxx,xxx,Keling,Malaysia,02-13N,102-09E,1984-2015,99,Dept. Survey/Mapping
383,142A,Ixxx,xxx,Langkawi,Malaysia,06-52N,099-46E,1985-2017,93,Dept. Survey/Mapping
384,143A,Ixxx,043,Lumut,Malaysia,04-14N,100-37E,1984-2015,97,Dept. Survey/Mapping
385,144A,Ixxx,xxx,Penang,Malaysia,05-25N,100-21E,1984-2015,97,Dept. Survey/Mapping
386,145A,Ixxx,xxx,Groote Eylandt,Australia,13-52S,136-25E,1993-2016,99,"Nat. Tidal Ctr., BOM"
387,147A,Ixxx,030,Karachi-A,Pakistan,24-48N,066-58E,1985-1994,83,Nat. Inst. of Ocean.
388,147B,Ixxx,030,Karachi-B,Pakistan,24-49N,066-59E,2007-2016,99,NOC-UK
389,148A,Ixxx,042,Ko Taphao Noi,Thailand,07-50N,098-26E,1985-2017,98,Naval Hydro. Dept.
390,149A,Ixxx,xxx,Lamu-A,Kenya,02-16S,040-54E,1989-1989,68,Kenya Marine Fisheries
391,149B,Ixxx,xxx,Lamu-B,Kenya,02-16S,040-54E,1995-2017,97,UH Sea Level Center
392,150A,Ixxx,015,Nosy Be,Madagascar,13-24S,048-18E,1958-2014,34,CNRO
393,151A,Ixxx,297,Zanzibar,Tanzania,06-09S,039-11E,1984-2017,96,UH Sea Level Center
394,155A,Ixxx,096,Dzaoudzi,Mayotte,12-47S,045-16E,1963-2014,25,SHOM
395,158A,Ixxx,xxx,Meneng,Indonesia,08-07S,114-23E,1987-1989,94,Center for Ocean. Res.
396,159A,Ixxx,xxx,Pari,Indonesia,05-51S,106-37E,1987-1990,84,Center for Ocean. Res.
397,160A,Ixxx,292,Surabaya,Indonesia,07-13S,112-44E,1984-2004,81,BAKOSURTANAL
398,161A,Ixxx,xxx,Jakarta,Indonesia,06-07S,106-51E,1984-2004,62,BAKOSURTANAL
399,162A,Ixxx,291,Cilacap-A,Indonesia,07-45S,109-01E,1984-2004,40,BAKOSURTANAL
400,162B,Ixxx,291,Cilacap-B,Indonesia,07-45S,109-01E,2007-2017,99,UH Sea Level Center
401,163A,Ixxx,049,Benoa-A,Indonesia,08-45S,115-13E,1988-2004,69,BAKOSURTANAL
402,163B,Ixxx,049,Benoa-B,Indonesia,08-45S,115-13E,2006-2017,86,UH Sea Level Center
403,164A,Ixxx,017,Reunion,France,20-56S,055-17E,1967-2016,60,SHOM
404,165A,Ixxx,xxx,Wyndham,Australia,15-27S,128-06E,1984-2012,97,"Nat. Tidal Ctr., BOM"
405,166A,Ixxx,040,Broome,Australia,18-00S,122-13E,1986-2016,89,"Nat. Tidal Ctr., BOM"
406,167A,Ixxx,052,Carnarvon,Australia,24-54S,113-39E,1984-2012,86,"Nat. Tidal Ctr., BOM"
407,168A,Ixxx,062,Darwin,Australia,12-28S,130-51E,1984-2016,98,"Nat. Tidal Ctr., BOM"
408,169A,Ixxx,051,Port Hedland,Australia,20-19S,118-35E,1984-2012,98,"Nat. Tidal Ctr., BOM"
409,170A,Ixxx,047,Christmas,Australia,10-25S,105-40E,1986-2009,24,"Nat. Tidal Ctr., BOM"
410,171A,Ixxx,046,Cocos,Australia,12-07S,096-54E,1985-2016,96,"Nat. Tidal Ctr., BOM"
411,172A,Ixxx,003,Aden,Yemen,12-47N,044-59E,2007-2014,94,NOC-UK
412,173A,Ixxx,277,Davis,Australia,68-27S,077-58E,1993-2010,94,"Nat. Tidal Ctr., BOM"
413,175A,Ixxx,053,Fremantle,Australia,32-03S,115-44E,1984-2015,100,"Nat. Tidal Ctr., BOM"
414,176A,Ixxx,054,Esperance,Australia,33-52S,121-54E,1985-2016,98,"Nat. Tidal Ctr., BOM"
415,177A,Ixxx,022,Mawson,Australia,67-36S,062-52E,1992-2009,94,"Nat. Tidal Ctr., BOM"
416,178A,Ixxx,021,Crozet-A,France,46-26S,051-52E,1995-1999,52,LEGOS/OMP
417,178B,Ixxx,021,Crozet-B,France,46-26S,051-52E,2000-2001,76,LEGOS/OMP
418,179A,Ixxx,024,Saint Paul,France,38-43S,077-32E,1994-2006,92,LEGOS/OMP
419,180A,Ixxx,023,Kerguelen,France,49-21S,070-13E,1993-2012,99,LEGOS/OMP
420,182A,Ixxx,xxx,Mina Sulman,Bahrain,26-14N,050-36E,1979-2007,68,Survey Directorate
421,189A,Ixxx,131,Dumont d'Urville,France,66-40S,140-01E,2008-2010,93,LEGOS/OMP
422,190A,Ixxx,xxx,Maputo-A,Mozambique,26-10S,032-42E,1974-1974,100,Inst. Hidro. Marinha
423,190B,Ixxx,xxx,Maputo-B,Mozambique,25-59S,032-34E,1981-1986,49,INAHINA
424,191A,Ixxx,xxx,Antonio Enes,Mozambique,16-14S,039-54E,1967-1967,31,Inst. Hidro. Marinha
425,192A,Ixxx,011,Pemba-A,Mozambique,12-58S,040-30E,1971-1973,25,Inst. Hidro. Marinha
426,192B,Ixxx,011,Pemba-B,Mozambique,12-58S,040-29E,1982-1984,64,INAHINA
427,192C,Ixxx,011,Pemba-C,Mozambique,12-58S,040-29E,2007-2013,48,NOC-UK
428,193A,Ixxx,xxx,Nacala-A,Mozambique,14-28S,040-41E,1975-1975,18,Inst. Hidro. Marinha
429,193B,Ixxx,xxx,Nacala-B,Mozambique,14-28S,040-41E,1982-1983,100,Inst. Hidro. Marinha
430,900A,Ixxx,010,Inhambane,Mozambique,23-52S,035-23E,2011-2011,24,NOC-UK
431,906A,Ixxx,141,Moulmein,Myanmar,16-28N,097-37E,2006-2017,82,UH Sea Level Center
432,907A,Ixxx,037,Akyab (Sittwe),Myanmar,20-08N,092-54E,2006-2017,62,UH Sea Level Center
433,915A,Ixxx,337,Chabahar,Iran,25-18N,060-36E,2007-2016,96,NOC-UK
434,201A,Axxx,199,St. Peter&Paul R.,Brazil,00-55N,029-21W,1982-1985,99,ORSTOM
435,202A,Axxx,xxx,Natal-A,Brazil,05-45S,035-12W,1982-1983,100,ORSTOM
436,202B,Axxx,xxx,Natal-B,Brazil,05-45S,035-12W,1983-1984,99,ORSTOM
437,202C,Axxx,xxx,Natal-C,Brazil,05-45S,035-12W,1984-1985,100,ORSTOM
438,203A,Axxx,198,Fer. de Nor.-A,Brazil,03-50S,032-24W,1982-1983,100,ORSTOM
439,203B,Axxx,198,Fer. de Nor.-B,Brazil,03-50S,032-24W,1984-1985,100,ORSTOM
440,203C,Axxx,198,Fer. de Nor.-C,Brazil,03-50S,032-24W,1985-1986,100,LPAO/INPE
441,204A,Axxx,265,Trindade,Brazil,20-30S,029-19W,1983-1983,16,ORSTOM
442,205A,Axxx,xxx,Arrecife-A,Spain,28-57N,013-34W,1959-1973,98,Inst. Espanol Ocean.
443,205B,Axxx,xxx,Arrecife-B,Spain,28-57N,013-34W,1973-1985,69,Inst. Espanol Ocean.
444,205D,Axxx,xxx,Arrecife-D,Spain,28-57N,013-34W,1987-1991,90,Inst. Espanol Ocean.
445,206A,Axxx,xxx,S.Cruz Palma-A,Spain,28-41N,017-45W,1949-1959,100,Inst. Espanol Ocean.
446,206B,Axxx,xxx,S.Cruz Palma-B,Spain,28-41N,017-45W,1959-1981,93,Inst. Espanol Ocean.
447,206D,Axxx,xxx,S.Cruz Palma-D,Spain,28-41N,017-45W,1989-1990,93,Inst. Espanol Ocean.
448,207A,Axxx,249,Ceuta,Spain,35-54N,005-19W,1944-2013,96,Inst. Espanol Ocean.
449,208A,Axxx,xxx,Vigo,Spain,42-14N,008-44W,1943-1990,100,Inst. Espanol Ocean.
450,209A,Axxx,246,Cascais,Portugal,38-42N,009-25W,1959-2005,88,Inst. Geogr. Port.
451,210A,Axxx,244,"Flores,Santa Cruz",Portugal,39-27N,031-07W,1976-2009,58,Inst. Hidro. Marinha
452,211A,Axxx,245,Ponta Delgada,Portugal,37-44N,025-40W,1978-2017,76,Inst. Hidro. Marinha
453,212A,Axxx,xxx,"Horta,Azores",Portugal,38-32N,028-37W,1984-1986,87,Inst. Hidro. Marinha
454,213A,Axxx,244,"Flores,Lajes",Portugal,39-23N,031-10W,2006-2013,100,Inst. Hidro. Marinha
455,214A,Axxx,xxx,"Lameshur Bay,VI",USA,18-19N,064-43W,2006-2016,100,National Ocean Service
456,215A,Axxx,xxx,Angra Heroismo-A,Portugal,38-39N,027-14W,1957-1962,100,Inst. Hidro. Marinha
457,215B,Axxx,xxx,Angra Heroismo-B,Portugal,38-39N,027-14W,1976-1983,94,Inst. Hidro. Marinha
458,216A,Axxx,xxx,Porto Grande,Portugal,16-52N,024-59W,1990-1993,38,Inst. Hidro. Marinha
459,217A,Axxx,251,Las Palmas-A,Spain,28-06N,015-24W,1949-1956,95,Inst. Espanol Ocean.
460,217B,Axxx,251,Las Palmas-B,Spain,28-06N,015-24W,1971-1982,88,Inst. Espanol Ocean.
461,217C,Axxx,251,Las Palmas-C,Spain,28-06N,015-24W,1983-1991,73,Inst. Espanol Ocean.
462,217D,Axxx,251,Las Palmas-D,Spain,28-08N,015-25W,1991-2013,96,Inst. Espanol Ocean.
463,218B,Axxx,250,Funchal-B,Portugal,32-39N,016-55W,1976-2013,76,Inst. Hidro. Marinha
464,219A,Axxx,xxx,"Culebra,PR",USA,18-18N,065-18W,2005-2013,95,National Ocean Service
465,222A,Axxx,xxx,Praia-A,Cape Verde,14-55N,023-30W,1984-1985,100,ORSTOM
466,222C,Axxx,xxx,Praia-C,Cape Verde,14-55N,023-31W,1995-1996,64,National Ocean Service
467,223A,Axxx,253,Dakar-A,Senegal,14-40N,017-26W,1982-1983,100,ORSTOM
468,223B,Axxx,253,Dakar-B,Senegal,14-40N,017-26W,1983-1985,100,ORSTOM
469,223C,Axxx,253,Dakar-C,Senegal,14-40N,017-26W,1986-1986,44,ORSTOM
470,223D,Axxx,253,Dakar-D,Senegal,14-40N,017-26W,1986-1989,94,ORSTOM
471,223E,Axxx,253,Dakar-E,Senegal,14-41N,017-25W,1992-2017,77,UH Sea Level Center
472,225A,Axxx,260,Sao Tome,Sao Tome/Princip,00-01N,006-31E,1985-1988,58,ORSTOM
473,227A,Axxx,xxx,Cayenne,France,04-51N,052-16W,2006-2007,67,SHOM
474,228A,Axxx,xxx,Tenerife,Spain,28-29N,016-14W,1992-2017,96,Puertos del Estado
475,229A,Axxx,xxx,Belem,Brazil,01-27S,048-30W,1955-1968,96,National Ocean Service
476,230A,Axxx,257,Abidjan-Vridi,Ivory Coast,05-15N,004-00W,1982-1988,100,ORSTOM
477,231A,Axxx,335,Takoradi-A,Ghana,04-53N,001-45W,1983-1986,100,ORSTOM
478,231B,Axxx,335,Takoradi-B,Ghana,04-53N,001-45W,2004-2005,100,"NIO,India"
479,231C,Axxx,335,Takoradi-C,Ghana,04-53N,001-45W,2007-2012,61,Survey of Ghana
480,233A,Axxx,259,Lagos-A,Nigeria,06-25N,003-27E,1961-1969,63,NOC
481,233C,Axxx,259,Lagos-C,Nigeria,06-25N,003-25E,1992-1996,74,NIOMR
482,234A,Axxx,261,Pointe Noire-A,Congo,04-48S,011-51E,1980-1988,77,ORSTOM
483,234B,Axxx,261,Pointe Noire-B,Congo,04-47S,011-50E,2008-2015,84,NOC-UK
484,235A,Axxx,329,"Palmeira,C.Verde",Portugal,16-45N,022-59W,2000-2017,93,UH Sea Level Center
485,236A,Axxx,xxx,Luanda,Angola,08-47S,013-14E,1972-1975,100,Inst. Hidro. Marinha
486,237A,Axxx,262,Lobito,Angola,12-20S,013-34E,1971-1975,88,Inst. Hidro. Marinha
487,238A,Axxx,xxx,Mocamedes,Angola,15-12S,012-09E,1971-1975,98,Inst. Hidro. Marinha
488,239A,Axxx,215,Siboney,Cuba,23-06N,082-28W,1990-1990,99,Inst. Cubano De Hidro.
489,240A,Axxx,xxx,Fernandina Beach,USA,30-40N,081-28W,1897-2016,47,National Ocean Service
490,241A,Axxx,332,"Miami,Haulover P.",USA,25-54N,080-07W,1985-1992,96,National Ocean Service
491,242A,Axxx,216,Key West,USA,24-33N,081-49W,1913-2016,98,National Ocean Service
492,243A,Axxx,xxx,"Penuelas, PR",USA,17-58N,066-46W,2001-2005,100,National Ocean Service
493,244A,Axxx,276,Gibara,Cuba,21-07N,076-07W,1985-1992,100,Inst. Cubano De Hidro.
494,245A,Axxx,206,San Juan,USA,18-28N,066-07W,1977-2016,96,National Ocean Service
495,246A,Axxx,xxx,Magueyes Island,USA,17-58N,067-03W,1954-2016,89,National Ocean Service
496,247A,Axxx,328,La Guaira,Venezuela,10-37N,066-56W,1985-1994,97,Inst. Ocean. Venezuela
497,248A,Axxx,203,Port-of-Spain,Trinidad/Tobago,10-39N,061-31W,1984-1992,81,Trin/Tob. Hydro. Unit
498,249A,Axxx,xxx,Bridgetown-A,Barbados,13-06N,059-37W,1968-1970,98,National Ocean Service
499,249B,Axxx,xxx,Bridgetown-B,Barbados,13-06N,059-37W,1990-1991,92,Gov. of Barbados
500,249C,Axxx,xxx,Bridgetown-C,Barbados,13-06N,059-37W,1993-1996,45,Gov. of Barbados
501,249D,Axxx,xxx,Bridgetown-D,Barbados,13-07N,059-38W,2008-2010,80,Gov. of Barbados
502,250A,Axxx,212,"Veracruz-A,Ver.",Mexico,19-12N,096-07W,1985-2012,58,UNAM
503,250B,Axxx,212,"Veracruz-B,Ver.",Mexico,19-12N,096-08W,1999-2004,63,Secretaria de Marina
504,251A,Axxx,xxx,Guantanamo Bay-A,Cuba,19-54N,075-09W,1937-1948,81,National Ocean Service
505,251B,Axxx,xxx,Guantanamo Bay-B,Cuba,19-54N,075-09W,1995-1997,89,National Ocean Service
506,252A,Axxx,xxx,"Portland,ME",USA,43-39N,070-15W,1910-2016,97,National Ocean Service
507,253A,Axxx,290,"Newport,RI",USA,41-30N,071-20W,1930-2016,96,National Ocean Service
508,254A,Axxx,xxx,Limetree Bay,USA,17-42N,064-45W,1982-2016,93,National Ocean Service
509,255A,Axxx,xxx,Charlotte Amalie,USA,18-20N,064-55W,1978-2016,91,National Ocean Service
510,256A,Axxx,012,Exuma Cays,Bahamas,23-46N,076-06W,1992-1993,99,HBOI
511,257A,Axxx,211,Settlement Pnt.-A,Bahamas,26-43N,078-60W,1985-2002,91,National Ocean Service
512,257B,Axxx,211,Settlement Pnt.-B,Bahamas,26-41N,078-59W,2002-2017,91,UH Sea Level Center
513,258A,Axxx,xxx,"Christiansted,VI",USA,17-45N,064-42W,2006-2016,99,National Ocean Service
514,259A,Axxx,221,Bermuda-A,United Kingdom,32-22N,064-42W,1932-1949,78,National Ocean Service
515,259B,Axxx,221,Bermuda-B,United Kingdom,32-22N,064-42W,1985-2016,82,National Ocean Service
516,260A,Axxx,219,"Duck Pier,NC",USA,36-11N,075-45W,1978-2016,99,National Ocean Service
517,261A,Axxx,xxx,"Charleston,SC-A",USA,32-47N,079-56W,1901-1903,99,National Ocean Service
518,261B,Axxx,xxx,"Charleston,SC-B",USA,32-47N,079-56W,1921-2016,99,National Ocean Service
519,262A,Axxx,xxx,"St. Augustine,FL",USA,29-51N,081-16W,1978-2002,42,National Ocean Service
520,263A,Axxx,xxx,"Aguadilla,PR",USA,18-27N,067-10W,2006-2012,90,National Ocean Service
521,264A,Axxx,220,"Atlantic City,NJ",USA,39-21N,074-25W,1911-2016,95,National Ocean Service
522,265A,Axxx,207,Cartagena-A,Colombia,10-23N,075-32W,1951-1993,90,IDEAM
523,265B,Axxx,207,Cartagena-B,Colombia,10-23N,075-32W,1993-2014,69,IDEAM
524,266A,Axxx,208,Cristobal,Panama,09-21N,079-55W,1907-2014,93,Autoridad Canal Panama
525,267A,Axxx,xxx,"Mona Is.,PR",USA,18-05N,067-56W,2006-2016,94,National Ocean Service
526,268A,Axxx,xxx,Limon-A,Costa Rica,10-00N,083-02W,1970-1981,66,SERMAR
527,268B,Axxx,xxx,Limon-B,Costa Rica,09-59N,083-01W,2009-2017,100,UH Sea Level Center
528,269A,Axxx,xxx,Cochino Pequeno,Honduras,15-57N,086-30W,1995-1996,100,National Ocean Service
529,270A,Axxx,xxx,Le Robert,France,14-41N,060-56W,1976-1984,61,SHOM
530,271A,Axxx,338,Fort de France,France,14-36N,061-04W,1976-2016,35,SHOM
531,272A,Axxx,xxx,Pointe-a-Pitre,France,16-14N,061-32W,1991-2012,63,Meteo-France
532,274A,Axxx,xxx,Churchill,Canada,58-46N,094-11W,1961-2016,93,MEDS
533,275A,Axxx,222,Halifax,Canada,44-40N,063-35W,1895-2014,80,MEDS
534,276A,Axxx,223,St. John's-A,Canada,47-34N,052-42W,1935-1989,59,MEDS
535,276B,Axxx,223,St. John's-B,Canada,47-34N,052-42W,1989-2015,96,MEDS
536,277A,Axxx,xxx,"Madero,Tampico",Mexico,22-16N,097-48W,2004-2007,89,National Ocean Service
537,279A,Axxx,xxx,Montauk,USA,41-03N,071-58W,1947-2016,92,National Ocean Service
538,280A,Axxx,195,Rio de Janeiro,Brazil,22-54S,043-10W,1963-2013,95,Dir. Hidro. e Navegaca
539,281A,Axxx,194,Cananeia-A,Brazil,25-01S,047-56W,1954-2006,99,Inst. Ocean. USP
540,281B,Axxx,194,Cananeia-B,Brazil,25-01S,047-56W,2014-2016,100,Inst. Ocean. USP
541,282A,Axxx,xxx,Ubatuba,Brazil,23-30S,045-07W,2013-2017,95,Inst. Ocean. USP
542,283A,Axxx,336,Fortaleza-A,Brazil,03-43S,038-29W,1955-1968,95,National Ocean Service
543,283B,Axxx,336,Fortaleza-B,Brazil,03-43S,038-28W,1995-1998,100,LPAO/INPE
544,283C,Axxx,336,Fortaleza-C,Brazil,03-43S,038-29W,2008-2017,100,UH Sea Level Center
545,284A,Axxx,xxx,Termisa,Brazil,04-49S,037-03W,1993-1995,97,LPAO/INPE
546,285A,Axxx,xxx,Buenos Aires,Argentina,34-40S,058-30W,1905-1961,100,Ser. Hidro. Naval
547,286A,Axxx,190,Puerto Deseado-A,Argentina,47-45S,065-55W,1988-1989,87,Ser. Hidro. Naval
548,286B,Axxx,190,Puerto Deseado-B,Argentina,47-45S,065-55W,2010-2017,82,UH Sea Level Center
549,287A,Axxx,xxx,Puerto Williams,Chile,54-56S,067-37W,1985-1998,88,SHOA
550,288A,Axxx,229,Reykjavik,Iceland,64-09N,021-56W,1984-1999,94,Iceland Hydro. Serv.
551,289A,Axxx,248,Gibraltar-A,United Kingdom,36-08N,005-21W,1961-2014,62,UKHO/NOC
552,289B,Axxx,248,Gibraltar-B,United Kingdom,36-08N,005-21W,1993-2000,62,UKHO
553,290A,Axxx,305,Port Stanley-A,United Kingdom,52-42S,057-52W,1964-1974,47,NOC
554,290B,Axxx,305,Port Stanley-B,United Kingdom,51-45S,057-56W,1992-2014,90,NOC
555,291A,Axxx,263,Ascension,United Kingdom,07-55S,014-25W,1993-2012,65,NOC
556,292A,Axxx,264,St. Helena-A,United Kingdom,15-55S,005-43W,1993-2006,75,NOC
557,292B,Axxx,264,St. Helena-B,United Kingdom,15-55S,005-43W,2011-2013,100,NOC
558,293A,Axxx,236,Lerwick,United Kingdom,60-09N,001-08W,1959-2016,94,NOC
559,294A,Axxx,241,Newlyn,United Kingdom,50-06N,005-33W,1915-2016,98,NOC
560,295A,Axxx,238,Stornoway,United Kingdom,58-13N,006-23W,1976-2016,80,NOC
561,296A,Axxx,xxx,Sisimiut,Denmark,66-56N,053-40W,1991-1998,85,Danish Navig./Hydro.
562,297A,Axxx,228,Ammassalik,Denmark,65-36N,037-00W,1990-1998,78,Danish Navig./Hydro.
563,298A,Axxx,xxx,Ilulissat,Denmark,69-13N,051-06W,1992-1997,82,Danish Navig./Hydro.
564,299A,Axxx,344,Qaqortoq,Denmark,60-43N,046-02W,1991-1998,83,Danish Navig./Hydro.
565,600A,Axxx,181,Ushuaia,Argentina,54-48S,068-18W,1996-2017,67,UH Sea Level Center
566,601A,Axxx,185,Esperanza,Argentina,63-24S,056-60W,1996-1998,86,National Ocean Service
567,700A,Axxx,188,Faraday,United Kingdom,65-15S,064-16W,1959-2013,75,NOC
568,705A,Axxx,xxx,L. Cornwallis I.,Canada,75-23N,096-57W,1986-1994,100,MEDS
569,707A,Axxx,xxx,Canavieiras,Brazil,15-40S,038-58W,1956-1961,95,National Ocean Service
