,stat_idx,oc_idx,x,loc_name,country,Lat,Lon,data_years,CI,Contributor
122,091A,Pxxx,172,La Libertad,Ecuador,02-12S,080-55W,1949-2017,96,INOCAR
123,092A,Pxxx,xxx,Talara-A,Peru,04-35S,081-17W,1950-1965,92,National Ocean Service
124,092B,Pxxx,xxx,Talara-B,Peru,04-35S,081-17W,1988-2014,78,DHNM
125,093A,Pxxx,173,Callao-A,Peru,12-03S,077-09W,1950-1965,98,National Ocean Service
126,093B,Pxxx,173,Callao-B,Peru,12-04S,077-10W,1970-2017,97,DHNM
127,094A,Pxxx,xxx,Matarani-A,Peru,17-00S,072-07W,1954-1964,98,National Ocean Service
128,094B,Pxxx,xxx,Matarani-B,Peru,17-00S,072-07W,1992-2017,88,DHNM
129,096A,Pxxx,xxx,San Juan-A,Peru,15-22S,075-12W,1978-2003,80,DHNM
130,096B,Pxxx,xxx,San Juan-B,Peru,15-22S,075-12W,2003-2014,95,DHNM
131,098A,Pxxx,xxx,Esmeraldas,Ecuador,00-60N,079-39W,1990-2012,93,INOCAR
132,300A,Pxxx,xxx,Naos-A,Panama,08-55N,079-32W,1961-1965,99,Scripps Inst. Ocean.
133,300B,Pxxx,xxx,Naos-B,Panama,08-55N,079-32W,1991-1997,84,National Ocean Service
134,301A,Pxxx,xxx,Puerto Quetzal-A,Guatemala,13-55N,090-47W,1983-1984,90,UH Sea Level Center
135,301B,Pxxx,xxx,Puerto Quetzal-B,Guatemala,13-55N,090-47W,1992-1995,77,UH Sea Level Center
136,301C,Pxxx,xxx,Puerto Quetzal-C,Guatemala,13-55N,090-50W,2001-2002,100,National Ocean Service
137,302A,Pxxx,168,Balboa,Panama,08-58N,079-34W,1907-2017,98,Autoridad Canal Panama
138,303A,Pxxx,171,Tumaco,Colombia,01-49N,078-44W,1951-2014,85,IDEAM
139,304A,Pxxx,xxx,Pto. Armuelles-A,Panama,08-16N,082-52W,1955-1968,95,Inst. Geograf. Nac.
140,304B,Pxxx,xxx,Pto. Armuelles-B,Panama,08-16N,082-52W,1983-2001,94,Inst. Geograf. Nac.
141,305A,Pxxx,xxx,Cedros Island,Mexico,28-06N,115-11W,1976-1989,75,CICESE
142,307A,Pxxx,xxx,San Felipe,Mexico,31-01N,114-49W,1982-1986,52,UNAM
143,308A,Pxxx,xxx,San Quintin,Mexico,30-29N,115-59W,1977-1990,97,CICESE
144,310A,Pxxx,xxx,Bahia Los Angeles,Mexico,28-58N,113-33W,1973-1994,74,CICESE
145,313A,Pxxx,xxx,Catalina-A,USA,33-27N,118-29W,1978-1979,96,Scripps Inst. Ocean.
146,313B,Pxxx,xxx,Catalina-B,USA,33-27N,118-29W,1980-1988,86,Scripps Inst. Ocean.
147,316A,Pxxx,267,"Acapulco-A,Gro.",Mexico,16-50N,099-55W,1952-1995,91,UNAM
148,316B,Pxxx,267,"Acapulco-B,Gro.",Mexico,16-50N,099-55W,1999-2005,88,Secretaria de Marina
149,316C,Pxxx,267,"Acapulco-C,Gro.",Mexico,16-51N,099-51W,2007-2011,100,UH Sea Level Center
150,317A,Pxxx,xxx,Ensenada,Mexico,31-51N,116-38W,1956-1991,84,UNAM
151,318A,Pxxx,xxx,Puerto Madero,Mexico,14-43N,092-26W,1986-1988,99,UNAM
152,319A,Pxxx,xxx,Loreto,Mexico,26-01N,111-22W,1975-1988,73,CICESE
153,320A,Pxxx,293,Cendering,Malaysia,05-16N,103-11E,1984-2015,97,Dept. Survey/Mapping
154,321A,Pxxx,xxx,Johor Baharu,Malaysia,01-28N,103-48E,1983-2013,95,Dept. Survey/Mapping
155,322A,Pxxx,xxx,Kuantan,Malaysia,03-59N,103-26E,1983-2015,99,Dept. Survey/Mapping
156,323A,Pxxx,xxx,Tioman,Malaysia,02-48N,104-08E,1985-2015,97,Dept. Survey/Mapping
157,324A,Pxxx,xxx,Sedili,Malaysia,01-56N,104-07E,1986-2015,98,Dept. Survey/Mapping
158,325A,Pxxx,xxx,Kukup,Malaysia,01-20N,103-27E,1985-2015,98,Dept. Survey/Mapping
159,326A,Pxxx,xxx,Geting,Malaysia,06-14N,102-06E,1986-2015,99,Dept. Survey/Mapping
160,327A,Pxxx,044,Keppel Harbour,Singapore,01-16N,103-49E,1981-1990,99,Port Singapore Auth.
161,328A,Pxxx,039,Ko Lak,Thailand,11-48N,099-49E,1985-2017,95,Naval Hydro. Dept.
162,329A,Pxxx,077,Hong Kong-A,China,22-18N,114-12E,1962-1985,97,Hong Kong Observatory
163,329B,Pxxx,077,Hong Kong-B,China,22-18N,114-13E,1986-2016,99,Hong Kong Observatory
164,330A,Pxxx,xxx,Rosslyn Bay,Australia,23-10S,150-47E,1993-2016,99,"Nat. Tidal Ctr., BOM"
165,331A,Pxxx,058,Brisbane,Australia,27-22S,153-10E,1984-2016,98,"Nat. Tidal Ctr., BOM"
166,332A,Pxxx,059,Bundaberg,Australia,24-46S,152-23E,1984-2016,99,"Nat. Tidal Ctr., BOM"
167,333A,Pxxx,057,Fort Denison,Australia,33-51S,151-14E,1965-2015,95,"Nat. Tidal Ctr., BOM"
168,334A,Pxxx,060,Townsville,Australia,19-15S,146-50E,1984-2016,99,"Nat. Tidal Ctr., BOM"
169,335A,Pxxx,056,Spring Bay,Australia,42-33S,147-56E,1985-2016,97,"Nat. Tidal Ctr., BOM"
170,336A,Pxxx,061,Booby Island,Australia,10-36S,141-55E,1988-2015,93,"Nat. Tidal Ctr., BOM"
171,337A,Pxxx,044,Victoria Dock,Singapore,01-16N,103-49E,1972-1981,95,Port Singapore Auth.
172,338A,Pxxx,xxx,Macau,Portugal,22-10N,113-33E,1978-1985,80,Inst. Hidro. Marinha
173,339A,Pxxx,xxx,Hobart,Australia,42-53S,147-21E,1985-2012,82,"Nat. Tidal Ctr., BOM"
174,340A,Pxxx,xxx,Kaohsiung,Rep. of China,22-37N,120-17E,1980-2016,96,Central Weather Bureau
175,341A,Pxxx,xxx,Keelung,Rep. of China,25-09N,121-45E,1980-2016,86,Central Weather Bureau
176,342A,Pxxx,xxx,Port Kembla,Australia,34-28S,150-55E,1991-2016,99,"Nat. Tidal Ctr., BOM"
177,343A,Pxxx,xxx,Cape Ferguson,Australia,19-17S,147-04E,1991-2016,98,"Nat. Tidal Ctr., BOM"
178,344A,Pxxx,xxx,Burnie,Australia,41-03S,145-55E,1992-2016,99,"Nat. Tidal Ctr., BOM"
179,345A,Pxxx,xxx,Nakano Shima,Japan,29-51N,129-51E,1984-2015,99,Japan Ocean. Data Cen.
180,347A,Pxxx,327,Abashiri,Japan,44-01N,144-17E,1968-2016,98,Japan Meteor. Agency
181,348A,Pxxx,326,Hamada,Japan,34-54N,132-04E,1984-2016,97,Japan Meteor. Agency
182,349A,Pxxx,325,Toyama,Japan,36-46N,137-14E,1967-2016,99,Japan Meteor. Agency
183,350A,Pxxx,089,Kushiro,Japan,42-58N,144-22E,1963-2016,98,Japan Meteor. Agency
184,351A,Pxxx,087,Ofunato,Japan,39-01N,141-45E,1965-2016,98,Japan Meteor. Agency
185,352A,Pxxx,086,Mera,Japan,34-55N,139-49E,1965-2016,95,Japan Meteor. Agency
186,353A,Pxxx,085,Kushimoto,Japan,33-29N,135-46E,1961-2016,98,Japan Meteor. Agency
187,354A,Pxxx,082,Aburatsu,Japan,31-35N,131-25E,1961-2016,100,Japan Meteor. Agency
188,355A,Pxxx,081,Naha,Japan,26-13N,127-40E,1966-2016,100,Japan Meteor. Agency
189,356A,Pxxx,xxx,Maisaka,Japan,34-41N,137-37E,1968-2016,97,Japan Meteor. Agency
190,357A,Pxxx,xxx,Miyakejima,Japan,34-04N,139-29E,1964-2015,99,Japan Ocean. Data Cen.
191,358A,Pxxx,xxx,Hosojima,Japan,32-25N,131-41E,1933-1975,86,Japan Ocean. Data Cen.
192,359A,Pxxx,xxx,Naze,Japan,28-24N,129-30E,1957-2015,94,Japan Ocean. Data Cen.
193,360A,Pxxx,324,Wakkanai,Japan,45-24N,141-41E,1967-2016,99,Japan Meteor. Agency
194,362A,Pxxx,083,Nagasaki,Japan,32-44N,129-52E,1985-2016,100,Japan Meteor. Agency
195,363A,Pxxx,xxx,Nishinoomote,Japan,30-44N,130-60E,1965-2015,99,Japan Ocean. Data Cen.
196,364A,Pxxx,088,Hakodate,Japan,41-47N,140-43E,1964-2016,95,Japan Meteor. Agency
197,365A,Pxxx,xxx,Ishigaki,Japan,24-20N,124-09E,1969-2016,99,Japan Meteor. Agency
198,370A,Pxxx,073,Manila,Philippines,14-35N,120-58E,1984-2014,91,NMRIA
199,371A,Pxxx,072,Legaspi,Philippines,13-09N,123-46E,1984-2017,86,NMRIA
200,372A,Pxxx,071,Davao-A,Philippines,07-07N,125-40E,1984-1997,92,NMRIA
201,372B,Pxxx,071,Davao-B,Philippines,07-07N,125-40S,1998-2017,70,NMRIA
202,373A,Pxxx,070,Jolo,Philippines,06-04N,121-00E,1984-1995,86,NMRIA
203,375A,Pxxx,xxx,Hachinohe,Japan,40-32N,141-32E,1980-2011,99,Japan Meteor. Agency
204,376A,Pxxx,247,Xiamen,China,24-27N,118-04E,1954-1997,100,PRC NODC
205,379A,Pxxx,xxx,Cebu,Philippines,10-18N,123-55E,1998-2014,83,NMRIA
206,380A,Pxxx,xxx,Puerto Princesa,Philippines,09-45N,118-44E,1998-2014,87,NMRIA
207,381A,Pxxx,075,Qui Nhon-A,Vietnam,13-46N,109-15E,1994-2005,58,Mar. Hydromet. Center
208,381B,Pxxx,075,Qui Nhon-B,Vietnam,13-47N,109-15E,2007-2016,90,UH Sea Level Center
209,382A,Pxxx,xxx,Subic Bay,Philippines,14-46N,120-15E,2007-2017,100,UH Sea Level Center
210,383A,Pxxx,xxx,Vung Tau-A,Vietnam,10-20N,107-04E,1986-2002,97,Mar. Hydromet. Center
211,383B,Pxxx,xxx,Vung Tau-B,Vietnam,10-20N,107-04E,2007-2017,99,UH Sea Level Center
212,385A,Pxxx,xxx,Tawau,Malaysia,04-14N,117-53E,1987-2015,94,Dept. Survey/Mapping
213,386A,Pxxx,xxx,Kota Kinabalu,Malaysia,05-59N,116-04E,1987-2015,92,Dept. Survey/Mapping
214,387A,Pxxx,xxx,Bintulu,Malaysia,03-13N,113-04E,1992-2015,87,Dept. Survey/Mapping
215,388A,Pxxx,xxx,Miri,Malaysia,04-24N,113-58E,1992-2014,62,Dept. Survey/Mapping
216,389A,Pxxx,xxx,Sandakan,Malaysia,05-49N,118-04E,1993-2015,96,Dept. Survey/Mapping
